City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luderitz,-26.6481,15.1594,16.32,68,3,9.27,NA,1670272972
84,san patricio,28.017,-97.5169,28.05,58,68,6.31,US,1670272972
85,garchitorena,13.8804,123.6946,25.32,85,100,3.35,PH,1670272973
86,barrow,71.2906,-156.7887,-0.99,86,100,9.26,US,1670272973
87,amot,59.5714,7.9877,-5.52,85,77,2.07,NO,1670272973
88,rimouski,48.4488,-68.524,1.82,66,70,8.06,CA,1670272852
89,lebu,-37.6167,-73.65,17.32,69,2,2.79,CL,1670272974
90,sidi ali,36.0998,0.4206,17.99,44,100,3.36,DZ,1670272974
91,guiglo,6.5456,-7.4966,24.61,81,84,0.94,CI,1670272974
92,soyo,-6.1349,12.3689,25.96,87,99,3.91,AO,1670272842
93,tautira,-17.7333,-149.15,25.93,78,51,6.9,PF,1670272975
94,qaanaaq,77.484,-69.3632,0.58,82,100,6.7,GL,1670272973
95,aquidauana,-20.4711,-55.7872,27.47,75,99,2.55,BR,1670272975
96,kaitangata,-46.2817,169.8464,8.3,92,100,2.6,NZ,1670272976
97,aklavik,68.2191,-135.0107,-25.47,84,100,10.01,CA,1670272949
98,maceio,-9.6658,-35.7353,24.69,94,40,7.2,BR,1670272976
99,dembi dolo,8.5333,34.8,16.74,66,30,1.34,ET,1670272977
100,porbandar,21.6422,69.6093,21.57,39,0,4.74,IN,1670272959
101,ciudad bolivar,8.1222,-63.5497,29.63,54,100,2.19,VE,1670272977
102,ewo,-0.8725,14.8206,22.97,86,67,1.86,CG,1670272977
103,waipawa,-41.4122,175.5153,16.91,56,1,5.89,NZ,1670272978
104,avarua,-21.2078,-159.775,24.03,88,100,3.09,CK,1670272822
105,plettenberg bay,-34.0527,23.3716,15.77,75,32,2.14,ZA,1670272978
106,atuona,-9.8,-139.0333,25.31,75,92,7.13,PF,1670272770
107,fairbanks,64.8378,-147.7164,-8.55,88,75,0.0,US,1670272816
108,la asuncion,11.0333,-63.8628,25.52,75,81,4.54,VE,1670272979
109,hualmay,-11.0964,-77.6139,21.38,73,9,4.48,PE,1670272979
110,puerto ayora,-0.7393,-90.3518,24.98,85,55,2.24,EC,1670272962
111,muriwai beach,-36.8167,174.45,18.86,66,97,1.43,NZ,1670272979
112,dehloran,32.6941,47.2679,16.19,53,16,1.13,IR,1670272981
113,gravdal,68.1214,13.5031,1.94,87,75,17.49,NO,1670272981
114,san rafael,-34.6177,-68.3301,36.85,12,48,10.14,AR,1670272968
115,albany,42.6001,-73.9662,6.33,45,100,0.45,US,1670272982
116,yumen,40.2833,97.2,-9.17,87,100,2.12,CN,1670272982
117,ribeira grande,38.5167,-28.7,17.22,67,40,7.6,PT,1670272979
118,nikolskoye,59.7035,30.7861,-5.05,93,100,3.11,RU,1670272983
119,kirakira,-10.4544,161.9205,27.68,80,100,2.1,SB,1670272696
120,husavik,66.0449,-17.3389,-0.4,80,94,4.59,IS,1670272983
121,yulara,-25.2406,130.9889,27.06,17,9,3.48,AU,1670272984
122,liusha,27.2098,108.59,-0.4,94,11,0.75,CN,1670272984
123,butaritari,3.0707,172.7902,27.18,80,100,7.04,KI,1670272984
124,hobart,-42.8794,147.3294,12.37,70,75,8.23,AU,1670272561
125,new norfolk,-42.7826,147.0587,12.18,69,90,0.45,AU,1670272985
126,chokurdakh,70.6333,147.9167,-37.29,99,40,3.44,RU,1670272862
127,bathsheba,13.2167,-59.5167,28.36,76,20,2.57,BB,1670272985
128,port lincoln,-34.7333,135.8667,15.54,68,100,6.37,AU,1670272986
129,bengkulu,-3.8004,102.2655,23.32,91,100,1.28,ID,1670272986
130,port elizabeth,-33.918,25.5701,16.29,90,0,5.66,ZA,1670272948
131,saldanha,-33.0117,17.9442,17.03,77,97,6.37,ZA,1670272883
132,savannah bight,16.45,-85.85,27.63,59,2,5.19,HN,1670272987
133,bluff,-46.6,168.3333,10.45,71,76,3.83,NZ,1670272956
134,bow island,49.8668,-111.3684,-8.41,85,100,5.14,CA,1670272987
135,portland,45.5234,-122.6762,6.96,78,20,1.54,US,1670272386
136,ahipara,-35.1667,173.1667,19.39,69,100,2.72,NZ,1670272988
137,lompoc,34.6391,-120.4579,18.9,67,40,4.12,US,1670272970
138,jamestown,42.097,-79.2353,7.8,26,0,4.63,US,1670272961
139,quatre cocos,-20.2078,57.7625,25.06,80,53,5.99,MU,1670272989
140,saint-philippe,-21.3585,55.7679,23.77,78,100,4.37,RE,1670272794
141,flinders,-34.5833,150.8552,18.92,92,47,4.1,AU,1670272989
142,wanlaweyn,2.6185,44.8938,25.23,80,16,4.0,SO,1670272989
143,sterling,39.0062,-77.4286,10.15,48,40,5.14,US,1670272990
144,marsh harbour,26.5412,-77.0636,23.91,71,31,5.09,BS,1670272990
145,sohag,26.557,31.6948,16.89,52,0,5.05,EG,1670272990
146,zeya,53.75,127.2667,-27.29,100,95,1.31,RU,1670272991
147,tabas,33.5959,56.9244,8.64,48,46,2.27,IR,1670272991
148,kalangala,-0.3089,32.225,21.64,71,100,4.4,UG,1670272992
149,sao filipe,14.8961,-24.4956,22.58,68,34,3.31,CV,1670272992
150,adeje,28.1227,-16.726,19.77,78,20,2.06,ES,1670272993
